timestamp,cpu_percent,rss_mb
1785750703.085,2.50,44.13
1785750705.087,3.00,44.13
1785750707.089,3.50,44.13
1785750709.090,2.50,44.13
1785750711.093,3.00,44.13
1785750713.094,2.50,44.13
1785750715.096,3.00,44.13
1785750717.098,3.50,44.13
1785750719.100,3.50,44.13
1785750721.101,2.00,44.13
1785750723.104,3.50,44.13
1785750725.106,2.00,44.13
1785750727.108,3.00,44.32
1785750729.109,3.00,44.32
1785750731.112,3.00,44.32
1785750733.113,2.50,44.32
1785750735.116,3.50,44.32
1785750737.117,2.50,44.32
1785750739.120,2.50,44.32
1785750741.121,3.50,44.32
1785750743.122,2.00,44.32
1785750745.124,3.00,44.32
1785750747.125,3.00,44.32
1785750749.128,2.50,44.32
1785750751.130,2.50,44.32
1785750753.132,3.00,44.32
1785750755.133,3.00,44.32
1785750757.136,2.50,44.32
1785750759.137,10.50,48.07
1785750761.140,2.00,48.07
1785750763.141,4.00,48.07
1785750765.144,2.00,48.07
1785750767.145,3.50,48.07
1785750769.148,10.50,48.26
1785750771.149,2.50,48.26
1785750773.151,2.50,48.26
1785750775.153,3.50,48.26
1785750777.156,2.50,48.26
1785750779.157,3.00,48.26
1785750781.160,3.50,48.26
1785750783.161,2.50,48.26
1785750785.164,3.50,48.26
1785750787.165,2.50,48.26
1785750789.168,4.00,48.26
1785750791.169,2.00,48.26
1785750793.172,3.50,48.26
1785750795.173,3.00,48.26
1785750797.174,3.00,48.26
1785750799.176,3.50,48.26
1785750801.177,2.50,48.26
1785750803.180,3.50,48.26
1785750805.181,2.50,48.26
1785750807.184,2.50,48.26
1785750809.185,2.50,48.26
1785750811.186,2.50,48.26
1785750813.188,2.50,48.26
1785750815.189,2.00,48.26
1785750817.191,2.50,48.26
1785750819.193,2.50,48.26
1785750821.195,4.00,48.26
1785750823.198,2.50,48.26
1785750825.200,2.50,48.26
1785750827.201,3.50,48.63
1785750829.204,3.00,48.63
1785750831.205,2.50,48.63
1785750833.206,3.00,48.63
1785750835.209,2.50,48.63
1785750837.209,2.50,48.63
1785750839.212,4.00,48.63
1785750841.213,2.50,48.63
1785750843.216,2.50,48.63
1785750845.217,3.50,48.63
1785750847.220,2.50,48.63
1785750849.221,2.50,48.63
1785750851.223,3.00,48.63
1785750853.224,3.50,48.63
1785750855.226,2.50,48.63
1785750857.228,3.50,48.63
1785750859.229,2.50,48.63
1785750861.232,3.00,48.63
1785750863.233,3.00,48.63
1785750865.236,3.50,48.63
1785750867.238,3.50,48.63
1785750869.240,2.50,48.63
1785750871.241,3.00,48.63
1785750873.244,3.00,48.63
1785750875.245,3.00,48.63
1785750877.246,3.50,48.63
1785750879.248,4.00,48.63
1785750881.249,2.50,48.63
1785750883.251,3.50,48.63
1785750885.253,3.00,48.63
1785750887.256,2.50,48.63
1785750889.257,3.50,48.63
1785750891.260,2.50,48.63
1785750893.262,4.00,48.63
1785750895.264,3.00,48.63
1785750897.266,3.00,48.63
1785750899.268,2.50,48.63
1785750901.269,3.50,48.63
1785750903.272,3.00,48.63
1785750905.273,3.50,48.63
1785750907.276,4.00,48.63
1785750909.278,2.50,48.63
1785750911.280,4.00,48.63
1785750913.283,3.00,48.63
1785750915.285,3.00,48.63
1785750917.285,2.50,48.63
1785750919.288,4.00,48.63
1785750921.289,4.00,48.63
1785750923.292,2.50,48.63
1785750925.294,4.50,48.63
1785750927.296,3.00,48.63
1785750929.297,3.00,48.63
1785750931.300,4.00,48.63
1785750933.302,3.50,48.63
1785750935.304,3.00,48.63
1785750937.305,3.00,48.63
1785750939.308,3.50,48.63
1785750941.309,11.00,49.95
1785750943.310,2.50,49.95
1785750945.313,3.50,49.95
